State;Year;Real GDP (1997 chained millions)
New Hampshire;1992;28486,3
New Jersey;1992;256964,6
New Mexico;1992;33855,3
New York;1992;585395,4
North Carolina;1992;171222,8
North Dakota;1992;14175,9
Ohio;1992;275324,1
Oklahoma;1992;69025,2
Oregon;1992;68518,6
Pennsylvania;1992;298365,5
Plains;1992;457254,3
Rhode Island;1992;25369,5
Rocky Mountain;1992;189489,8
South Carolina;1992;78505
South Dakota;1992;16279,3
Southeast;1992;1449519
Southwest;1992;654651,7
Tennessee;1992;123167,1
Texas;1992;461815,7
Utah;1992;39563,8
Vermont;1992;13562,3
Virginia;1992;175795,3
Washington;1992;150244,8
West Virginia;1992;32880,3
Wisconsin;1992;123617
Wyoming;1992;14326,8
Alabama;1993;91167,6
Alaska;1993;26047,8
Arizona;1993;94916,4
Arkansas;1993;50756
California;1993;888069,6
Colorado;1993;103456,6
Connecticut;1993;118314,6
Delaware;1993;26946
District of Columbia;1993;51310,1
Far West;1993;1225572
Florida;1993;329410,2
Georgia;1993;184788,5
Great Lakes;1993;1133832
Hawaii;1993;40152,4
Idaho;1993;23939,6
Illinois;1993;343469,6
Indiana;1993;140644,9
Iowa;1993;66912,9
Kansas;1993;63516,2
Kentucky;1993;85809,8
Louisiana;1993;105295,6
Maine;1993;27337,3
Maryland;1993;137002,9
Massachusetts;1993;187751,3
Michigan;1993;242174,5
Mideast;1993;1366936
Minnesota;1993;127067,5
Mississippi;1993;50440,1
Missouri;1993;128277,9
Montana;1993;17284,6
Nebraska;1993;42384,7
Nevada;1993;43994
New England;1993;401600,8
New Hampshire;1993;28831,7
New Jersey;1993;259804,8
New Mexico;1993;37463
New York;1993;588212,9
North Carolina;1993;176678,3
North Dakota;1993;13987,1
Ohio;1993;277702
Oklahoma;1993;70760,6
Oregon;1993;72548,1
Pennsylvania;1993;303021
Plains;1993;459352,4
Rhode Island;1993;25653,4
Rocky Mountain;1993;201102,9
South Carolina;1993;81300,8
South Dakota;1993;17208,4
Southeast;1993;1498996
Southwest;1993;681390,2
Tennessee;1993;128543,3
Texas;1993;478420,3
Utah;1993;41509
Vermont;1993;13755
Virginia;1993;180781,5
Washington;1993;154089,7
West Virginia;1993;33835,7
Wisconsin;1993;128390
Wyoming;1993;14785,1
Alabama;1994;94803,1
Alaska;1994;26187,9
Arizona;1994;104104,4
Arkansas;1994;53640,5
California;1994;904778,2
Colorado;1994;110528,9
Connecticut;1994;121001,5
Delaware;1994;28749,8
District of Columbia;1994;51289,9
Far West;1994;1255607
